Alg Name,Language,r,qID,confirmed,suspected,nFound,Call Counts,UBLB Time,Final Wash Time,BF Found,BF Time,Graph Size,Dataset Size
CMT UBLB,C++,1,0,1,0,1,0,11135.4,0.001,1,3.606,11,1500
CMT UBLB,C++,1,74,2,0,2,0,4230.11,0,2,2.837,11,1500
CMT UBLB,C++,1,148,3,0,3,0,6002.2,0.001,3,2.238,11,1500
CMT UBLB,C++,1,222,6,7,9,0,8455.58,0.785,9,4.66,11,1500
CMT UBLB,C++,1,296,2,1,2,0,3273.3,0.006,2,1.922,11,1500
CMT UBLB,C++,1,370,3,0,3,0,3205.32,0.001,3,2.066,11,1500
CMT UBLB,C++,1,444,1,5,1,0,4240.07,0.214,1,3.244,11,1500
CMT UBLB,C++,1,518,5,3,5,0,11258.3,0.394,5,9.122,11,1500
CMT UBLB,C++,1,592,3,3,4,0,10274.7,0.445,4,5.141,11,1500
CMT UBLB,C++,1,666,1,10,2,0,5899.1,0.557,2,3.2,11,1500
CMT UBLB,C++,1,740,1,0,1,0,8530.14,0.001,1,2.462,11,1500
CMT UBLB,C++,1,814,2,2,3,0,15446.1,0.384,3,9.166,11,1500
CMT UBLB,C++,1,888,1,20,4,0,5693.24,1.493,4,4.028,11,1500
CMT UBLB,C++,1,962,1,0,1,0,4942.5,0.001,1,1.617,11,1500
CMT UBLB,C++,1,1036,2,0,2,0,8097.18,0.001,2,3.358,11,1500
CMT UBLB,C++,1,1110,4,0,4,0,12811.1,0.001,4,7.36,11,1500
CMT UBLB,C++,1,1184,1,1,1,0,9819.88,0.205,1,2.919,11,1500
CMT UBLB,C++,1,1258,4,4,5,0,2978.59,0.163,5,2.163,11,1500
CMT UBLB,C++,1,1332,1,0,1,0,10439.9,0.001,1,1.838,11,1500
CMT UBLB,C++,1,1406,2,0,2,0,7425.26,0.001,2,2.067,11,1500
CMT UBLB,C++,3,0,4,41,9,0,19771.8,5.507,9,33.488,11,1500
CMT UBLB,C++,3,74,2,13,7,0,7666.53,2.843,7,8.65,11,1500
CMT UBLB,C++,3,148,6,28,15,0,9614.81,3.018,15,9.576,11,1500
CMT UBLB,C++,3,222,31,113,52,0,13500.6,15.777,52,33.23,11,1500
CMT UBLB,C++,3,296,27,13,28,0,10692.1,0.837,28,15.14,11,1500
CMT UBLB,C++,3,370,9,21,16,0,6198.46,2.495,16,10.195,11,1500
CMT UBLB,C++,3,444,14,55,24,0,8088.98,7.745,24,16.89,11,1500
CMT UBLB,C++,3,518,27,93,46,0,23092.3,13.653,46,67.239,11,1500
CMT UBLB,C++,3,592,12,72,29,0,18128.2,11.987,29,40.059,11,1500
CMT UBLB,C++,3,666,3,88,15,0,10979.1,8.61,15,17.893,11,1500
CMT UBLB,C++,3,740,3,3,4,0,16719.3,0.517,4,14.354,11,1500
CMT UBLB,C++,3,814,20,88,27,0,26376.6,10.825,27,59.566,11,1500
CMT UBLB,C++,3,888,2,147,52,0,8579.37,22.104,52,24.565,11,1500
CMT UBLB,C++,3,962,2,8,2,0,15633.3,0.399,2,6.477,11,1500
CMT UBLB,C++,3,1036,14,55,19,0,18591,6.281,19,25.807,11,1500
CMT UBLB,C++,3,1110,25,73,28,0,24420,7.663,28,50.245,11,1500
CMT UBLB,C++,3,1184,2,69,4,0,15388.9,12.084,4,32.709,11,1500
CMT UBLB,C++,3,1258,7,11,14,0,4990.49,2.114,14,5.415,11,1500
CMT UBLB,C++,3,1332,1,87,2,0,14141.1,12.588,2,30.321,11,1500
CMT UBLB,C++,3,1406,4,6,5,0,15022.8,0.525,5,20.608,11,1500
CMT UBLB,C++,5,0,59,505,117,0,23091.6,89.414,117,138.461,11,1500
CMT UBLB,C++,5,74,4,111,27,0,10689.9,27.388,27,55.62,11,1500
CMT UBLB,C++,5,148,21,241,60,0,12061.8,35.115,60,55.513,11,1500
CMT UBLB,C++,5,222,77,567,175,0,16899.1,121.602,175,136.423,11,1500
CMT UBLB,C++,5,296,90,264,105,0,19336,41.78,105,74.354,11,1500
CMT UBLB,C++,5,370,32,130,61,0,10259.8,17.571,61,47.354,11,1500
CMT UBLB,C++,5,444,40,295,105,0,10655.2,64.89,105,71.698,11,1500
CMT UBLB,C++,5,518,124,641,223,0,28742.4,160.653,223,226.886,11,1500
CMT UBLB,C++,5,592,53,497,140,0,21850.9,115.294,140,127.781,11,1500
CMT UBLB,C++,5,666,20,458,125,0,12984.5,81.512,125,105.272,11,1500
CMT UBLB,C++,5,740,8,68,14,0,23570.7,8.606,14,77.488,11,1500
CMT UBLB,C++,5,814,120,670,225,0,29822.1,176.91,225,236.656,11,1500
CMT UBLB,C++,5,888,20,477,205,0,10112.3,156.183,205,84.653,11,1500
CMT UBLB,C++,5,962,24,146,28,0,24853.4,28.243,28,78.042,11,1500
CMT UBLB,C++,5,1036,58,658,161,0,22317.4,155.614,161,206.705,11,1500
CMT UBLB,C++,5,1110,155,607,228,0,27066.8,140.556,228,203.52,11,1500
CMT UBLB,C++,5,1184,12,472,61,0,18244.5,198.937,61,222.881,11,1500
CMT UBLB,C++,5,1258,10,94,21,0,7114.58,17.362,21,28.161,11,1500
CMT UBLB,C++,5,1332,3,664,33,0,15775.1,224.924,33,260.063,11,1500
CMT UBLB,C++,5,1406,7,272,12,0,20786.6,49.438,12,104.363,11,1500
CMT UBLB,C++,7,0,162,1072,519,0,23840.3,316.496,519,385.012,11,1500
CMT UBLB,C++,7,74,12,785,107,0,12508.7,229.761,107,268.875,11,1500
CMT UBLB,C++,7,148,60,786,245,0,13468.4,221.165,245,207.667,11,1500
CMT UBLB,C++,7,222,159,1079,546,0,18123.9,475,546,456.203,11,1500
CMT UBLB,C++,7,296,283,664,460,0,23026.6,175.184,460,216.039,11,1500
CMT UBLB,C++,7,370,66,739,150,0,12228.1,145.963,150,192.776,11,1500
CMT UBLB,C++,7,444,83,768,335,0,11755.7,305.423,335,312.647,11,1500
CMT UBLB,C++,7,518,369,920,768,0,29437.3,325.16,768,434.653,11,1500
CMT UBLB,C++,7,592,163,934,527,0,22970.8,333.284,527,375.679,11,1500
CMT UBLB,C++,7,666,84,1020,533,0,13824.2,375.763,533,310.702,11,1500
CMT UBLB,C++,7,740,15,840,53,0,26475.9,220.163,53,365.84,11,1500
CMT UBLB,C++,7,814,235,1045,687,0,30023.5,479.615,687,662.591,11,1500
CMT UBLB,C++,7,888,55,882,523,0,10849.3,408.413,523,207.988,11,1500
CMT UBLB,C++,7,962,108,574,160,0,29262.8,375.947,160,383.379,11,1500
CMT UBLB,C++,7,1036,199,1013,726,0,23583.9,380.894,726,477.761,11,1500
CMT UBLB,C++,7,1110,367,904,696,0,28819.3,397.109,696,421.428,11,1500
CMT UBLB,C++,7,1184,76,1076,418,0,20896.7,484.744,418,529.972,11,1500
CMT UBLB,C++,7,1258,14,577,115,0,8776.06,165.79,115,193.137,11,1500
CMT UBLB,C++,7,1332,18,1090,320,0,16342.1,912.204,320,1093.39,11,1500
CMT UBLB,C++,7,1406,46,1032,186,0,22487.6,326.829,186,359.335,11,1500
CMT UBLB,C++,9,0,419,1023,1120,0,23524.6,445.226,1120,509.115,11,1500
CMT UBLB,C++,9,74,42,1323,627,0,13005.7,760.656,627,742.13,11,1500
CMT UBLB,C++,9,148,123,1210,711,0,13616.2,472.722,711,447.141,11,1500
CMT UBLB,C++,9,222,368,1061,1171,0,17056.6,442.757,1171,441.271,11,1500
CMT UBLB,C++,9,296,492,873,912,0,20058.8,430.512,912,367.678,11,1500
CMT UBLB,C++,9,370,138,1229,650,0,12825.1,458.997,650,470.939,11,1500
CMT UBLB,C++,9,444,161,1164,816,0,11669.9,562.095,816,535.949,11,1500
CMT UBLB,C++,9,518,542,887,1198,0,27931.1,428.185,1198,593.556,11,1500
CMT UBLB,C++,9,592,312,1026,997,0,22278,483.577,997,694.274,11,1500
CMT UBLB,C++,9,666,230,1141,1147,0,14812.1,539.999,1147,501.446,11,1500
CMT UBLB,C++,9,740,62,1320,402,0,27622.2,869.421,402,1415.38,11,1500
CMT UBLB,C++,9,814,431,993,1201,0,28828.9,541.603,1201,858.979,11,1500
CMT UBLB,C++,9,888,111,1207,1029,0,11070.6,611.435,1029,344.341,11,1500
CMT UBLB,C++,9,962,389,941,626,0,30517.2,1447.76,626,1217.58,11,1500
CMT UBLB,C++,9,1036,411,987,1147,0,21870.5,437.704,1147,624.498,11,1500
CMT UBLB,C++,9,1110,562,862,1147,0,24897.4,523.059,1147,637.03,11,1500
CMT UBLB,C++,9,1184,230,1185,995,0,19132.7,701.747,995,879.945,11,1500
CMT UBLB,C++,9,1258,43,1186,568,0,9245,563.062,568,583.466,11,1500
CMT UBLB,C++,9,1332,63,1320,847,0,16889.3,1263.86,847,1563.11,11,1500
CMT UBLB,C++,9,1406,139,1295,858,0,22898.7,658.133,858,886.237,11,1500
CMT UBLB,C++,11,0,636,831,1421,0,21928.6,284.182,1421,506.043,11,1500
CMT UBLB,C++,11,74,101,1362,1266,0,15312.1,891.81,1266,901.159,11,1500
CMT UBLB,C++,11,148,246,1193,1283,0,14850.8,684.18,1283,566.132,11,1500
CMT UBLB,C++,11,222,609,845,1408,0,16575.3,331.009,1408,425.558,11,1500
CMT UBLB,C++,11,296,669,794,1283,0,18746.3,435.554,1283,504.478,11,1500
CMT UBLB,C++,11,370,312,1169,1288,0,12840.7,488.321,1288,541.059,11,1500
CMT UBLB,C++,11,444,298,1137,1336,0,11504.1,436.983,1336,420.414,11,1500
CMT UBLB,C++,11,518,800,659,1405,0,23860.9,239.981,1405,516.66,11,1500
CMT UBLB,C++,11,592,469,966,1299,0,20553,504.742,1299,647.591,11,1500
CMT UBLB,C++,11,666,416,1034,1388,0,14765.7,368.31,1388,411.386,11,1500
CMT UBLB,C++,11,740,178,1283,1206,0,27790.4,936.527,1206,1628.1,11,1500
CMT UBLB,C++,11,814,681,774,1400,0,24016.8,347.977,1400,647.431,11,1500
CMT UBLB,C++,11,888,236,1192,1345,0,10341.4,484.458,1345,404.619,11,1500
CMT UBLB,C++,11,962,754,708,1222,0,28816.3,1605.07,1222,1148.02,11,1500
CMT UBLB,C++,11,1036,668,784,1374,0,20074.3,362.434,1374,558.943,11,1500
CMT UBLB,C++,11,1110,765,693,1401,0,20420.6,294.094,1401,540.927,11,1500
CMT UBLB,C++,11,1184,470,988,1398,0,19201.5,377.416,1398,554.212,11,1500
CMT UBLB,C++,11,1258,94,1365,1209,0,9605.01,602.556,1209,627.365,11,1500
CMT UBLB,C++,11,1332,157,1289,1295,0,17038.2,1047.17,1295,1022.81,11,1500
CMT UBLB,C++,11,1406,314,1159,1404,0,22508.6,462.422,1404,663.515,11,1500
CMT UBLB,C++,13,0,883,603,1463,0,17924,171.088,1463,355.518,11,1500
CMT UBLB,C++,13,74,245,1235,1458,0,12663.5,521.02,1458,554.312,11,1500
CMT UBLB,C++,13,148,458,1008,1441,0,12533.9,329.124,1441,327.441,11,1500
CMT UBLB,C++,13,222,945,527,1460,0,12703.6,119.879,1460,290.386,11,1500
CMT UBLB,C++,13,296,874,611,1453,0,14555.7,235.256,1453,487.539,11,1500
CMT UBLB,C++,13,370,580,918,1482,0,11559.4,255.689,1482,348.08,11,1500
CMT UBLB,C++,13,444,548,916,1452,0,10117.2,226.605,1452,280.135,11,1500
CMT UBLB,C++,13,518,1063,408,1456,0,16499.7,111.15,1456,361.546,11,1500
CMT UBLB,C++,13,592,726,736,1417,0,14622.6,272.038,1417,469.48,11,1500
CMT UBLB,C++,13,666,726,743,1451,0,12158.3,228.528,1451,310.743,11,1500
CMT UBLB,C++,13,740,389,1090,1447,0,26097.8,453.259,1447,669.335,11,1500
CMT UBLB,C++,13,814,936,531,1452,0,19318.8,156.478,1452,410.732,11,1500
CMT UBLB,C++,13,888,430,1025,1438,0,9955.96,323.232,1438,327.728,11,1500
CMT UBLB,C++,13,962,1073,408,1448,0,26071.6,329.724,1448,349.758,11,1500
CMT UBLB,C++,13,1036,923,545,1447,0,16859.7,180.509,1447,323.88,11,1500
CMT UBLB,C++,13,1110,949,521,1458,0,16019.3,148.513,1458,391.647,11,1500
CMT UBLB,C++,13,1184,769,705,1454,0,16494,170.412,1454,279.472,11,1500
CMT UBLB,C++,13,1258,201,1277,1456,0,8246.5,374.692,1456,408.731,11,1500
CMT UBLB,C++,13,1332,390,1070,1426,0,15075.2,551.247,1426,590.21,11,1500
CMT UBLB,C++,13,1406,559,928,1477,0,23147.4,322.615,1477,447.879,11,1500
CMT UBLB,C++,15,0,1136,361,1484,0,13321.5,78.775,1484,316.205,11,1500
CMT UBLB,C++,15,74,515,972,1478,0,10654.6,200.831,1478,290.249,11,1500
